"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\repos\Lyftable\src\assets\styles.js", "JavaScript", 13, 0, 2, 15
"e:\repos\Lyftable\src\assets\theme.style.js", "JavaScript", 20, 0, 0, 20
"e:\repos\Lyftable\src\components\ActionButton\ActionButton.js", "JavaScript", 10, 0, 2, 12
"e:\repos\Lyftable\src\components\ActionButton\ActionButton.style.js", "JavaScript", 15, 0, 1, 16
"e:\repos\Lyftable\src\components\Calendar\Calendar.js", "JavaScript", 106, 1, 4, 111
"e:\repos\Lyftable\src\components\Calendar\Calendar.style.js", "JavaScript", 163, 0, 1, 164
"e:\repos\Lyftable\src\components\CustomTabBar\CustomTabBar.js", "JavaScript", 68, 0, 6, 74
"e:\repos\Lyftable\src\components\CustomTabBar\CustomTabBar.style.js", "JavaScript", 29, 0, 1, 30
"e:\repos\Lyftable\src\components\Header\Header.js", "JavaScript", 11, 0, 2, 13
"e:\repos\Lyftable\src\components\Header\Header.style.js", "JavaScript", 15, 0, 1, 16
"e:\repos\Lyftable\src\components\InputWrapper\InputWrapper.js", "JavaScript", 13, 0, 2, 15
"e:\repos\Lyftable\src\components\InputWrapper\InputWrapper.style.js", "JavaScript", 25, 0, 1, 26
"e:\repos\Lyftable\src\components\SearchBar\SearchBar.js", "JavaScript", 14, 0, 2, 16
"e:\repos\Lyftable\src\components\SearchBar\SearchBar.style.js", "JavaScript", 21, 0, 1, 22
"e:\repos\Lyftable\src\components\SectionLabel\SectionLabel.js", "JavaScript", 16, 0, 2, 18
"e:\repos\Lyftable\src\components\SectionLabel\SectionLabel.style.js", "JavaScript", 31, 0, 1, 32
"e:\repos\Lyftable\src\components\SplitCard\SplitCard.js", "JavaScript", 41, 0, 2, 43
"e:\repos\Lyftable\src\components\SplitCard\SplitCard.style.js", "JavaScript", 52, 0, 1, 53
"e:\repos\Lyftable\src\components\SplitList\SplitList.js", "JavaScript", 55, 0, 2, 57
"e:\repos\Lyftable\src\components\SplitList\SplitList.style.js", "JavaScript", 77, 0, 1, 78
"e:\repos\Lyftable\src\contexts\Auth.js", "JavaScript", 67, 35, 22, 124
"e:\repos\Lyftable\src\routes\AppStack.js", "JavaScript", 20, 0, 2, 22
"e:\repos\Lyftable\src\routes\AuthStack.js", "JavaScript", 11, 0, 2, 13
"e:\repos\Lyftable\src\routes\Router.js", "JavaScript", 17, 0, 3, 20
"e:\repos\Lyftable\src\screens\Account\Account.js", "JavaScript", 16, 0, 3, 19
"e:\repos\Lyftable\src\screens\Account\Account.style.js", "JavaScript", 32, 0, 1, 33
"e:\repos\Lyftable\src\screens\Charts\Charts.js", "JavaScript", 10, 0, 2, 12
"e:\repos\Lyftable\src\screens\Charts\Charts.style.js", "JavaScript", 32, 0, 1, 33
"e:\repos\Lyftable\src\screens\Friends\Friends.js", "JavaScript", 10, 0, 2, 12
"e:\repos\Lyftable\src\screens\Friends\Friends.style.js", "JavaScript", 32, 0, 1, 33
"e:\repos\Lyftable\src\screens\Home\Home.js", "JavaScript", 398, 0, 2, 400
"e:\repos\Lyftable\src\screens\Home\Home.style.js", "JavaScript", 3, 0, 2, 5
"e:\repos\Lyftable\src\screens\Loading\Loading.js", "JavaScript", 15, 0, 3, 18
"e:\repos\Lyftable\src\screens\Loading\Loading.style.js", "JavaScript", 0, 0, 1, 1
"e:\repos\Lyftable\src\screens\Login\Login.js", "JavaScript", 52, 1, 7, 60
"e:\repos\Lyftable\src\screens\Login\Login.style.js", "JavaScript", 32, 0, 1, 33
"e:\repos\Lyftable\src\screens\Start\Start.js", "JavaScript", 109, 0, 4, 113
"e:\repos\Lyftable\src\screens\Start\Start.style.js", "JavaScript", 19, 0, 1, 20
"e:\repos\Lyftable\src\services\authService.js", "JavaScript", 41, 4, 8, 53
"e:\repos\Lyftable\src\services\utilities.js", "JavaScript", 17, 0, 2, 19
"Total", "-", 1728, 41, 105, 1874
